"","Protein","CU vs AD","CU vs NPH","AD vs NPH","Sums"
"373","IGLV3.19_P01714",0,0,1,1
"374","CPN2_P22792",0,0,1,1
"375","COCH_O43405",1,0,0,1
"376","CLU_P10909",0,0,1,1
"377","PCOLCE_Q15113",0,0,1,1
"378","LUM_P51884",0,0,1,1
"379","LTBP1_Q14766",0,1,0,1
"380","ISLR_O14498",0,1,0,1
"381","IGHV3.15_A0A0B4J1V0",0,0,1,1
"382","GOLM1_Q8NBJ4",0,0,1,1
